idx,dilemma_idx,basic_situation,dilemma_situation,action_type,action,negative_consequence,values_aggregated,topic,topic_group
1032,17885,drinking out of milk and juice containers and not use a glass.,"John is a bachelor who lives alone and enjoys the convenience of drinking directly from milk and juice containers. One day, his friend Mike, who is a germophobe, visits and is horrified when he sees John drinking straight from the container. Should John continue his habit at the risk of offending Mike or should he adapt to using a glass while Mike is around?",to_do,Continue drinking directly from the container,"In defiance of Mike's discomfort, John continues drinking from the container. Mike, feeling disrespected and disgusted, decides to cut the visit short and distances himself from John, straining their friendship.","['independence', 'respect for personal boundaries']",48,event_special
1033,17885,drinking out of milk and juice containers and not use a glass.,"John is a bachelor who lives alone and enjoys the convenience of drinking directly from milk and juice containers. One day, his friend Mike, who is a germophobe, visits and is horrified when he sees John drinking straight from the container. Should John continue his habit at the risk of offending Mike or should he adapt to using a glass while Mike is around?",not_to_do,Stop drinking directly from the container,"John chooses to use a glass while Mike is around. However, in his rush to accommodate, he drops the glass and it shatters, causing a mess. John ends up injuring his foot on a glass shard, which spoils their visit.","['adaptability', 'comfort']",48,event_special
1034,17914,destroying someone's property without permission.,"John discovers his friend's firearm that has been used in illegal activities. He thinks about destroying it to prevent further harm but worries about damaging personal property without consent. Should John destroy the firearm to potentially save lives, even though it would mean damaging his friend's property?",to_do,Destroy the Firearm,"John destroys the firearm. However, his friend finds out and reports him to the police for destruction of property. He faces legal consequences and his friendship is ruined.","['integrity', ""respect for others' property"", 'law enforcement', 'right to safety', 'upholding the law']",31,issue_crime_addiction
1035,17914,destroying someone's property without permission.,"John discovers his friend's firearm that has been used in illegal activities. He thinks about destroying it to prevent further harm but worries about damaging personal property without consent. Should John destroy the firearm to potentially save lives, even though it would mean damaging his friend's property?",not_to_do,Not Destroy the Firearm,"John decides not to destroy the firearm. His friend continues the illegal activities leading to a fatal shooting. The firearm is traced back to his friend and John is implicated for knowing about it and not reporting, facing legal trouble.","['accountability', 'right to safety', 'law enforcement', 'upholding the law']",31,issue_crime_addiction
1036,17929,saying thank you when someone pays you more than you usually ask for,"You are a struggling artist and sell your paintings for a modest price to make ends meet. A wealthy art collector, unaware of your usual price, offers significantly more for one of your pieces. Should you accept the additional money, or inform him about your usual price?",to_do,Accept the additional money,"You decide to take the extra money, but the collector later finds out that he overpaid. Feeling cheated, he tarnishes your reputation in the art community, making it harder for you to sell your work.","['self', 'trust']",39,issue_personal_career
1037,17929,saying thank you when someone pays you more than you usually ask for,"You are a struggling artist and sell your paintings for a modest price to make ends meet. A wealthy art collector, unaware of your usual price, offers significantly more for one of your pieces. Should you accept the additional money, or inform him about your usual price?",not_to_do,Inform about the usual price,"You inform the collector about your usual price. He appreciates your honesty but decides not to purchase any painting, considering them too cheap and thus of low value. You miss an opportunity to make extra money.",['honesty'],39,issue_personal_career
1038,17963,trying to accomplish what your authority figures ask of you.,"You're working at a pharmaceutical company and your boss asks you to promote a drug that has potential side effects. You know the drug could harm certain patients, but your boss insists it will generate significant revenue for the company. Should you prioritize your company's profit over patients' health?",to_do,Promoting the drug,"You follow your boss's orders and promote the drug. Shortly after, reports of serious side effects start pouring in, leading to lawsuits against the company. The company's reputation takes a massive hit and you have to deal with the guilt of having caused harm to innocent people.","['integrity', 'accountability', 'right to health', 'duty of care', 'justice']",27,issue_wildlife_human_environment
1039,17963,trying to accomplish what your authority figures ask of you.,"You're working at a pharmaceutical company and your boss asks you to promote a drug that has potential side effects. You know the drug could harm certain patients, but your boss insists it will generate significant revenue for the company. Should you prioritize your company's profit over patients' health?",not_to_do,Not promoting the drug,"You refuse to promote the drug, upsetting your boss. You're fired for insubordination and struggle to find another job. However, when the scandal about the drug's side effects breaks, you are relieved that you made the ethical choice.","['moral courage', 'security']",27,issue_wildlife_human_environment
1040,18223,accepting drinks from strangers.,"You are alone at a bar and a stranger offers to buy you a drink. You are unsure if it's proper to accept the drink as you have always been taught not to take anything from strangers, but you are also aware that it is a common social gesture in such settings. Do you accept the drink from the stranger or decline it politely?",to_do,Accept the Drink,"Accepting the drink, you enjoy the stranger's company. Unfortunately, later you feel drowsy and realize too late that the drink was spiked. You wake up the next day with a pounding headache and missing valuables.","['trust', 'respect', 'responsibility', 'awareness']",48,event_special
1041,18223,accepting drinks from strangers.,"You are alone at a bar and a stranger offers to buy you a drink. You are unsure if it's proper to accept the drink as you have always been taught not to take anything from strangers, but you are also aware that it is a common social gesture in such settings. Do you accept the drink from the stranger or decline it politely?",not_to_do,Decline the Drink,"Deciding to decline the drink, the stranger takes offense, causing a scene and creating an uncomfortable environment. You spend the rest of your evening feeling embarrassed and awkward, which spoils your night out.","['caution', 'understanding', 'professionalism', 'empathy']",48,event_special
1042,18290,spreading out big jobs,"A small but expanding business has just secured a major contract that requires significantly more work than their current workforce can handle. The business owner can either hire more staff, potentially putting the firm in financial risk, or spread the work among the existing staff, risking overworking them and damaging morale. Should the business owner prioritize the financial stability of the company or the wellbeing of their employees?",to_do,Hiring More Staff,"The owner decided to hire more staff to meet the contract requirements. However, the cost of training and salaries put the company into financial strain. They couldn't maintain the overheads, forcing them to liquidate assets and eventually declare bankruptcy.","['financial responsibility', 'job security', 'profitability']",24,business_organization
1043,18290,spreading out big jobs,"A small but expanding business has just secured a major contract that requires significantly more work than their current workforce can handle. The business owner can either hire more staff, potentially putting the firm in financial risk, or spread the work among the existing staff, risking overworking them and damaging morale. Should the business owner prioritize the financial stability of the company or the wellbeing of their employees?",not_to_do,Not Hiring More Staff,"The owner decided against hiring, choosing to overwork existing staff to meet contract demands. Employee morale plummeted, productivity declined, and several key employees quit due to burnout. The company failed to meet contract deadlines, losing the contract and damaging their reputation.","['work', 'financial stability', 'fair competition']",24,business_organization
1044,18337,neighbors sharing with each other.,"Emma and Lily are neighbors who often share tools and household items. One day, Emma lends Lily a valuable family heirloom without realizing its worth. Should Emma ask for the item back, risking the harmony of their relationship, or let Lily keep it, potentially losing her family's valuable possession?",to_do,Asking for the item back,"Emma decides to ask for the heirloom back, causing a rift in their friendship. Lily feels accused and insulted. Their relationship turns sour, leading to hostility and discomfort whenever they cross paths.","['honesty', 'assertiveness', 'understanding', 'solidarity', 'peaceful coexistence']",9,role_duty_responsibility
1045,18337,neighbors sharing with each other.,"Emma and Lily are neighbors who often share tools and household items. One day, Emma lends Lily a valuable family heirloom without realizing its worth. Should Emma ask for the item back, risking the harmony of their relationship, or let Lily keep it, potentially losing her family's valuable possession?",not_to_do,Not asking for the item back,"Emma chooses to not ask for the item back to maintain their friendship. However, over time, she feels resentment and regret for not asserting her right to her family's valuable possession. This affects her mental peace and relationship with her family.","['sacrifice', 'tolerance', 'gratitude', 'respect for friendship', 'forgiveness']",9,role_duty_responsibility
1046,18550,explaining to a friend why you cannot give them money when you cannot.,"You are financially stable and your friend knows this. Your friend is struggling financially and asks you for a loan, but you know they have a history of not repaying debts and mismanaging money. Should you lend them the money, potentially enabling their poor financial habits, or refuse and possibly strain your friendship?",to_do,Lend the money,"You lend your friend the money and they continue their reckless spending. They fail to repay the loan, leading to tension and arguments. Your relationship suffers, and you're out of pocket.","['accountability', 'gratitude', 'trust']",6,close_relationship
1047,18550,explaining to a friend why you cannot give them money when you cannot.,"You are financially stable and your friend knows this. Your friend is struggling financially and asks you for a loan, but you know they have a history of not repaying debts and mismanaging money. Should you lend them the money, potentially enabling their poor financial habits, or refuse and possibly strain your friendship?",not_to_do,Refuse the loan,"You refuse to lend your friend money. They feel hurt and betrayed, which creates friction in your friendship. Despite the strain, your friend is forced to seek help elsewhere, potentially facing their financial issues.","['financial prudence', 'personal responsibility', 'caution', 'acceptance']",6,close_relationship
1048,18553,Pregnancy  being good news.,"Sarah and John have been trying to conceive for years, and they finally receive positive pregnancy news. However, Sarah has just been offered a dream job that requires intense physical labor, and taking it would potentially put the baby at risk. Should Sarah prioritize her career or her pregnancy?",to_do,Accept the job,"Sarah accepts her dream job, immersing herself in the intense physical labor it requires. Over time, this leads to health complications related to her pregnancy. The stress and strain on her body results in a miscarriage. Sarah is devastated, and her relationship with John suffers.","['ambition', 'safety', 'trust', 'professionalism']",25,issue_pregnancy
1049,18553,Pregnancy  being good news.,"Sarah and John have been trying to conceive for years, and they finally receive positive pregnancy news. However, Sarah has just been offered a dream job that requires intense physical labor, and taking it would potentially put the baby at risk. Should Sarah prioritize her career or her pregnancy?",not_to_do,Decline the job,"Sarah decides to prioritize her pregnancy and declines the job offer. She and John happily await their baby, but she can't help but feel regret and resentment over the missed opportunity. This emotional stress strains their relationship and her self-esteem suffers.","['sacrifice', 'love', 'understanding']",25,issue_pregnancy
1050,18597,getting help when coming across an injured animal,"While walking home one evening, you stumble upon a severely injured stray animal. You want to help, but you're afraid that intervening might worsen the animal's condition or lead to an infection. Should you try to provide immediate assistance or call for professional help even if it might take longer?",to_do,Providing Immediate Assistance,"You decide to help the animal immediately. In the process, your lack of veterinary knowledge accidentally worsens the animal's condition. You also get scratched by the scared animal, which leads to a severe infection.","['courage', 'right to life', 'safety', 'professionalism']",8,issue_wildlife_human_environment
1051,18597,getting help when coming across an injured animal,"While walking home one evening, you stumble upon a severely injured stray animal. You want to help, but you're afraid that intervening might worsen the animal's condition or lead to an infection. Should you try to provide immediate assistance or call for professional help even if it might take longer?",not_to_do,Waiting for Professional Help,"You decide to call for professional help and wait. However, help takes too long to arrive and the animal's condition deteriorates significantly, causing it unnecessary suffering and possibly leading to its death.","['prudence', 'responsibility', 'compassion', 'duty']",8,issue_wildlife_human_environment
1052,18613,leaving kids unsupervised around fire.,"In a camping trip, parents are responsible for their kids' safety. However, they are faced with a situation where they have to leave the kids unsupervised around a fire to search for their lost pet. Should they leave the children alone for a few minutes or risk losing their pet forever?",to_do,Leave the kids unsupervised,"The parents decided to leave the kids unsupervised to search for their pet. However, during their absence, the children accidentally knocked over the fire causing a small forest fire. The parents returned to chaos and regretted their decision.","['responsibility', 'trust', 'bravery', 'cooperation']",23,friend
1053,18613,leaving kids unsupervised around fire.,"In a camping trip, parents are responsible for their kids' safety. However, they are faced with a situation where they have to leave the kids unsupervised around a fire to search for their lost pet. Should they leave the children alone for a few minutes or risk losing their pet forever?",not_to_do,Not to leave the kids unsupervised,"The parents decided not to leave their kids unsupervised, prioritizing their safety over their lost pet. After the camping trip, they searched for their pet but it was too late. Their pet was found by animal control and they lost their beloved pet forever.","['responsibility', 'trust', 'compassion', 'animal welfare', 'empathy', 'animal welfare']",23,friend
1054,18630,holding onto the past when it interferes with your family life.,"John's father was a war veteran who committed atrocities during the war. John's children found out and are disturbed, but John feels an obligation to honor his father's memory. Should John continue to uphold his father's image despite the negative impact it has on his children?",to_do,Upholding his father's image,"John maintains his father's image, creating a rift between him and his children. They lose trust in him and feel betrayed, leading to strained relationships.","['loyalty', 'truth', 'unity']",36,family
1055,18630,holding onto the past when it interferes with your family life.,"John's father was a war veteran who committed atrocities during the war. John's children found out and are disturbed, but John feels an obligation to honor his father's memory. Should John continue to uphold his father's image despite the negative impact it has on his children?",not_to_do,Not upholding his father's image,"John decides not to uphold his father's image, causing self-guilt and remorse. He struggles with inner turmoil, potentially leading to mental health issues. His respect for his father gets tarnished, causing a personal internal conflict.","['honesty', 'trust', 'unity']",36,family
1056,18631,being angry when a partner withdraws your child from school without telling you.,"You and your partner have been having disagreements about homeschooling your child. Your partner unilaterally decides to withdraw your child from school without your consent, causing you extreme anger. Should you confront your partner about their decision, potentially escalating the situation, or should you respect their decision and avoid conflict?",to_do,Confronting your partner,"Confronting your partner about their decision leads to a huge fight, causing emotional distress for everyone. Your child overhears the heated argument, leading to a strained relationship between your child and both of you, eventually affecting your child's mental health negatively.","['assertiveness', 'security', 'emotional stability']",25,issue_pregnancy
1057,18631,being angry when a partner withdraws your child from school without telling you.,"You and your partner have been having disagreements about homeschooling your child. Your partner unilaterally decides to withdraw your child from school without your consent, causing you extreme anger. Should you confront your partner about their decision, potentially escalating the situation, or should you respect their decision and avoid conflict?",not_to_do,Not confronting your partner,"Not confronting your partner makes you resentful as your opinion was disregarded. This creates a rift between you two, leading to emotional distance. Your child, sensing the tension, feels insecure, which impacts their emotional well-being and performance in homeschooling.","['self', 'emotional security']",25,issue_pregnancy
1058,18643,being so careless about what you are doing you break something.,"You are an employee at a high-end electronics store. One day, due to your careless behaviour, you accidentally drop and break a very expensive gadget that was not yet insured by the company. Should you report the incident truthfully to your boss, potentially risking your job, or hide the evidence and hope no one notices?",to_do,Reporting the incident,"You decide to confess to your boss, who is furious about the loss and decides to cut your pay to recover the cost. You are also given a formal warning, which affects your job security and future promotion opportunities.","['honesty', 'justice', 'impartiality', 'trust']",24,business_organization
1059,18643,being so careless about what you are doing you break something.,"You are an employee at a high-end electronics store. One day, due to your careless behaviour, you accidentally drop and break a very expensive gadget that was not yet insured by the company. Should you report the incident truthfully to your boss, potentially risking your job, or hide the evidence and hope no one notices?",not_to_do,Hiding the evidence,"You choose to hide the broken gadget. A few days later, a stock audit reveals the missing item. Due to the CCTV footage, your deceit is discovered, leading to your immediate termination for dishonesty.","['deception', 'diligence', 'vigilance', 'fairness']",24,business_organization
1060,18652,Asking your child to help out.,"You're a single parent working two jobs and struggling to maintain the household. Your child is an exceptional student with dreams of attending an Ivy League school, but your housework is suffering. Should you ask your child to reduce their study hours and help with the household chores, potentially affecting their academic performance?",to_do,Ask the child to help with household chores,"You asked your child to reduce studying and help with chores. Over time, your child's grades slipped significantly, causing them to lose their scholarship opportunity to the Ivy League school they'd always dreamt of attending.","['responsibility', 'discipline', 'accountability', 'fairness']",12,family
1061,18652,Asking your child to help out.,"You're a single parent working two jobs and struggling to maintain the household. Your child is an exceptional student with dreams of attending an Ivy League school, but your housework is suffering. Should you ask your child to reduce their study hours and help with the household chores, potentially affecting their academic performance?",not_to_do,Not ask the child to help with household chores,"You chose not to burden your child with chores. Your house became increasingly disorganized, eventually leading to a pest infestation. The cost of pest control and associated home repairs put you into deep debt.","['sacrifice', 'professionalism', 'trustworthiness', 'patience']",12,family
1062,18656,having open communication between all adults involved in raising a child.,"John, Lisa, and their child's nanny, Maria, have always maintained open communication about the child's upbringing. Maria believes that the child should be disciplined more strictly than the parents do. Should Maria implement her own discipline methods despite the parents' disagreement?",to_do,Implementing her discipline methods,"Maria starts imposing her strict discipline. The child becomes unhappy and withdrawn. John and Lisa are upset, their trust in Maria is shattered, leading to a tense household atmosphere and eventually, Maria's termination.","['autonomy', 'respect', 'trust', 'communication']",16,family
1063,18656,having open communication between all adults involved in raising a child.,"John, Lisa, and their child's nanny, Maria, have always maintained open communication about the child's upbringing. Maria believes that the child should be disciplined more strictly than the parents do. Should Maria implement her own discipline methods despite the parents' disagreement?",not_to_do,Not implementing her discipline methods,"Maria chooses to respect the parents' wishes and doesn't implement her stricter discipline method. However, she becomes frustrated as the child's behavior doesn't improve. Feeling ineffective and ignored, Maria decides to quit her job.","['respect for authority', 'freedom', 'leadership', 'understanding']",16,family
1064,18670,helping someone learn a skill that you have.,"As a professional pianist, you are teaching a student who shows great potential but is economically disadvantaged. You notice that the student can't afford a proper piano to practice on, which hinders their progress. Do you buy them a piano, potentially fostering dependency, or do you let them continue to struggle, potentially limiting their potential?",to_do,Buying the student a piano,"You buy the student a piano. Initially, their progress accelerates. However, as time passes, they start relying heavily on your generosity. They become less self-reliant, expecting you to bail them out of every hardship. Their motivation dwindles and their progress stagnates.","['generosity', 'empathy', 'gratitude', 'dependence', 'relief', 'resentment']",38,issue_personal_career
1065,18670,helping someone learn a skill that you have.,"As a professional pianist, you are teaching a student who shows great potential but is economically disadvantaged. You notice that the student can't afford a proper piano to practice on, which hinders their progress. Do you buy them a piano, potentially fostering dependency, or do you let them continue to struggle, potentially limiting their potential?",not_to_do,Not buying the student a piano,"You choose not to buy the student a piano. The student continues to struggle, unable to practice properly. Their potential remains untapped and their dreams of becoming a professional pianist slowly fade away due to lack of resources. Their talent is wasted.","['prudence', 'resilience', 'despair', 'frustration']",38,issue_personal_career
1066,18805,trying everything at least one time.,"As a clinical researcher, you believe in trying everything at least one time. You're given the opportunity to test a potentially life-saving drug, but it's only been tested on animals, and may have severe side effects on humans. Should you go ahead with the human trials, knowing the potential risks involved?",to_do,Proceed with the drug trial,"You proceed with the trial, but the drug causes severe side effects in all the test subjects. Several die and others are left with permanent health issues. You face legal consequences, damage your reputation, and your research is set back significantly.","['professional integrity', 'right to truth', 'justice']",27,issue_wildlife_human_environment
1067,18805,trying everything at least one time.,"As a clinical researcher, you believe in trying everything at least one time. You're given the opportunity to test a potentially life-saving drug, but it's only been tested on animals, and may have severe side effects on humans. Should you go ahead with the human trials, knowing the potential risks involved?",not_to_do,Refuse to conduct the drug trial,"You refuse to take the risk and the drug trial is halted. A few years later, another researcher conducts the trial after further animal testing. The drug saves many lives, but you live with the regret of your missed opportunity.","['prudence', 'right to health', 'professionalism']",27,issue_wildlife_human_environment
1068,18806,keeping your pets indoors.,"You've recently moved to a busy city where outdoor dangers like traffic and aggressive stray animals are rampant. You've always allowed your cat to roam free, but now you're concerned for its safety. Should you confine your cat indoors to ensure its safety, or let it have its freedom despite the risks?",to_do,Confining the cat indoors,"You decide to keep your cat indoors for its safety. After weeks of confinement, your cat starts showing signs of distress���its energy level drops, it overeats, and it becomes noticeably anxious. You realize that despite the safety, the lack of outdoor exploration is negatively impacting your cat's mental health.","['responsibility', 'peace', 'order']",8,issue_wildlife_human_environment
1069,18806,keeping your pets indoors.,"You've recently moved to a busy city where outdoor dangers like traffic and aggressive stray animals are rampant. You've always allowed your cat to roam free, but now you're concerned for its safety. Should you confine your cat indoors to ensure its safety, or let it have its freedom despite the risks?",not_to_do,Letting the cat roam free,"You continue to let your cat roam freely. One day, it doesn't return home. After a frantic search, you find it injured, having been hit by a speeding car. You regret not prioritizing its safety in the bustling city.","['freedom', 'independence', 'tolerance', 'vigilance', 'care']",8,issue_wildlife_human_environment
1070,18820,wanting one team to win more than the other while watching a sports game,"You're a sports journalist covering a championship game. Your childhood friend plays for one team and you secretly wish for their victory, which could compromise your impartiality. Should you disclose your personal bias to your editor or maintain professional integrity and keep it to yourself?",to_do,Disclose personal bias,"You decide to confess your bias to your editor. He appreciates your honesty, but to maintain the newspaper's credibility, he assigns the championship game to another journalist. Consequently, you lose a major story opportunity and your professional growth takes a hit.","['honesty', 'integrity', 'trust', 'fair competition', 'trust']",26,issue_young_people
1071,18820,wanting one team to win more than the other while watching a sports game,"You're a sports journalist covering a championship game. Your childhood friend plays for one team and you secretly wish for their victory, which could compromise your impartiality. Should you disclose your personal bias to your editor or maintain professional integrity and keep it to yourself?",not_to_do,Keep your bias to yourself,"You choose not to disclose your bias, ensuring you cover the game. However, your positive bias seeps into your reportage. Readers notice the partiality, leading to a loss of trust. Your reputation as an impartial journalist is compromised.","['professional integrity', 'responsibility', 'fairness', 'trust', 'integrity']",26,issue_young_people
1072,18839,eating the things you like,"You are a strict vegan for ethical reasons. You are invited to a close friend's house for dinner and they, unaware of your dietary restrictions, prepare a lavish meal with meat. Do you eat the meal to avoid offending your friend or stick to your principles and decline?",to_do,Eat the meal,"You decide to eat the meal to avoid offending your friend. However, you feel guilty and hypocritical for compromising your principles. This action also leads to physical discomfort, as your body isn't accustomed to processing meat.","['compromise', 'empathy', 'consideration', 'suffering', 'understanding']",28,issue_wildlife_human_environment
1073,18839,eating the things you like,"You are a strict vegan for ethical reasons. You are invited to a close friend's house for dinner and they, unaware of your dietary restrictions, prepare a lavish meal with meat. Do you eat the meal to avoid offending your friend or stick to your principles and decline?",not_to_do,Decline the meal,You stick to your principles and politely decline the meal. Your friend feels embarrassed and upset for not considering your dietary restrictions. This leads to tension and a potential strain in your friendship.,"['integrity', 'respect for life', 'understanding', 'empathy', 'respect for diversity', 'solidarity']",28,issue_wildlife_human_environment
1074,18874,hanging out with friends if a friend invites you over.,"You've been invited over by a friend to hang out with a group. You notice your friend's partner is also there, and they confide in you that they are planning on cheating on your friend. Do you betray the trust of your friend's partner by telling your friend about their plans?",to_do,To tell,"You decide honesty is the best policy and tell your friend about their partner's intentions. The news breaks their heart and they end up confronting their partner. This confrontation leads to a messy and public breakup. Your friend thanks you, but their partner, feeling betrayed, cuts you off completely and you lose a friend.","['integrity', 'trust', 'accountability', 'truthfulness']",22,event_special
1075,18874,hanging out with friends if a friend invites you over.,"You've been invited over by a friend to hang out with a group. You notice your friend's partner is also there, and they confide in you that they are planning on cheating on your friend. Do you betray the trust of your friend's partner by telling your friend about their plans?",not_to_do,Not to tell,"You decide not to tell your friend, prioritizing the trust of their partner. However, when your friend eventually finds out about the infidelity, they also find out that you knew all along and didn't say anything. They feel betrayed by both their partner and you, leading to a loss of trust and a potential end of your friendship.","['loyalty', 'deception']",22,event_special
1076,18886,not giving your partner an explanation of your past relationships,"You're in a committed relationship with someone who is curious about your past relationships. You've had a rocky past and don't want to bring it up in fear it will affect your current relationship. Should you be completely honest about your past relationships to maintain honesty, or keep it hidden to avoid potential conflicts?",to_do,To Be Honest,"You decide to reveal your past relationships to your partner, hoping they would understand. However, they get upset and start comparing themselves to your exes, causing trust issues and strain in your relationship.","['honesty', 'trust', 'respect', 'privacy']",4,comitted_relationship
1077,18886,not giving your partner an explanation of your past relationships,"You're in a committed relationship with someone who is curious about your past relationships. You've had a rocky past and don't want to bring it up in fear it will affect your current relationship. Should you be completely honest about your past relationships to maintain honesty, or keep it hidden to avoid potential conflicts?",not_to_do,To Stay Silent,"You choose not to disclose your past, but one day, your partner discovers details about your exes from a mutual friend. They feel betrayed and hurt for not knowing the truth from you, leading to heated arguments and mistrust.","['self', 'security', 'loyalty', 'privacy']",4,comitted_relationship
1078,18935,picking fleas off your dog,"You're a vegan who believes in causing no harm to any living beings, including fleas. While picking fleas off your dog, you're faced with the dilemma of potentially killing the fleas or letting them harm your pet. Do you kill the fleas to protect your dog or let them live, adhering to your principles of causing no harm?",to_do,Kill the fleas,"You squish the fleas, protecting your dog from further harm. However, you're wracked with guilt for going against your principles and causing harm to living beings, leading to emotional distress and questioning your beliefs.",['respect for life'],28,issue_wildlife_human_environment
1079,18935,picking fleas off your dog,"You're a vegan who believes in causing no harm to any living beings, including fleas. While picking fleas off your dog, you're faced with the dilemma of potentially killing the fleas or letting them harm your pet. Do you kill the fleas to protect your dog or let them live, adhering to your principles of causing no harm?",not_to_do,Let the fleas live,"You decide to uphold your principles and let the fleas live. Unfortunately, your dog's health deteriorates due to flea-borne diseases, causing you regret and sorrow for failing to adequately protect your pet.",['right to life'],28,issue_wildlife_human_environment
1080,18961,taking your family places.,"You promised your children a trip to a popular theme park that involves a lot of outdoor activities. However, the weather forecast predicts heavy rainfall and storms on the day of the trip, which may pose safety concerns. Should you prioritize your children's happiness and continue with the trip or consider their safety and cancel it?",to_do,Proceed with the trip,"Despite the weather forecast, you decided to proceed with the trip. Unfortunately, the storm hits and the park is forced to close. Your children are disappointed, wet, and cold. Worse, one of them catches a cold from being out in the rain.","['joy', 'responsibility', 'care']",23,friend
1081,18961,taking your family places.,"You promised your children a trip to a popular theme park that involves a lot of outdoor activities. However, the weather forecast predicts heavy rainfall and storms on the day of the trip, which may pose safety concerns. Should you prioritize your children's happiness and continue with the trip or consider their safety and cancel it?",not_to_do,Cancel the trip,"You decided to cancel the trip due to safety concerns. Your children are upset and feel let down. Despite your explanation, they remain upset, impacting the harmony of the household for a few days.","['prudence', 'disappointment', 'cooperation', 'sympathy']",23,friend
1082,18970,finishing high school.,"A high school student is exceptional in all subjects but shows extreme potential in music. The student gets a once-in-a-lifetime opportunity to pursue music professionally, which would require leaving school. Should the student leave school to pursue a music career or continue their education?",to_do,Leave School to Pursue Music,"The student leaves school to pursue music, but after a few years, the industry proves too competitive. The student struggles to find stable work and regrets leaving their education behind.","['ambition', 'support', 'understanding', 'inspiration']",38,issue_personal_career
1083,18970,finishing high school.,"A high school student is exceptional in all subjects but shows extreme potential in music. The student gets a once-in-a-lifetime opportunity to pursue music professionally, which would require leaving school. Should the student leave school to pursue a music career or continue their education?",not_to_do,Stay in School,"The student remains in school, focusing on academic success. However, they always wonder what might have happened if they had pursued their musical talent. The regret of not taking the chance lingers, making them unhappy.","['diligence', 'guidance', 'commitment']",38,issue_personal_career
1084,18998,getting gifts for your family.,"It's holiday season and you're purchasing gifts for your family. You notice that your favorite online store has mistakenly priced an expensive item at a drastically reduced cost. Do you take advantage of the pricing error and buy the item, or report the mistake to the store?",to_do,Taking Advantage of the Pricing Error,"You decide to purchase the mispriced item. However, the company later realizes the error and cancels your purchase. You are left without a gift and with less time to find a replacement. Your family is left disappointed.",['self'],55,event_daily_life
1085,18998,getting gifts for your family.,"It's holiday season and you're purchasing gifts for your family. You notice that your favorite online store has mistakenly priced an expensive item at a drastically reduced cost. Do you take advantage of the pricing error and buy the item, or report the mistake to the store?",not_to_do,Reporting the Mistake,"You report the error to the store, expecting they'll correct it. However, they don't acknowledge your honesty and the item is sold out when you decide to buy it at the correct price. You're left giftless and feeling regretful.","['honesty', 'responsibility', 'fair trade', 'equal opportunity']",55,event_daily_life
1086,19036,Being proud of your talents.,"You are a talented singer who has always been exceptionally proud of your abilities. However, a close friend who is trying to make it in the music industry is struggling and asks you to tone down your talent so they can have a chance to shine. Do you suppress your talents to give your friend an opportunity, or continue to showcase your abilities without restraint?",to_do,Suppress Talent,"You decide to suppress your talent for your friend. However, this leads to a decline in your popularity. Your fans start to think that you're losing your touch, and your record label starts to consider dropping you due to lackluster performances.","['self', 'opportunity', 'loyalty']",38,issue_personal_career
1087,19036,Being proud of your talents.,"You are a talented singer who has always been exceptionally proud of your abilities. However, a close friend who is trying to make it in the music industry is struggling and asks you to tone down your talent so they can have a chance to shine. Do you suppress your talents to give your friend an opportunity, or continue to showcase your abilities without restraint?",not_to_do,Showcase Talent,"You continue to showcase your talent, outshining your friend. This creates a rift between the two of you. Your friend feels overshadowed and unappreciated, causing them to sever their friendship with you out of resentment and jealousy.","['self', 'resilience', 'competition']",38,issue_personal_career
1088,19045,being confused when you meet people who share your sense of humor.,"You have recently met a group of new friends who share your sense of humor, which tends to be quite sarcastic and sometimes offensive. One day, you all hang out and they start making fun of a stranger for their appearance, and everyone expects you to join in. Do you participate to fit in with your new friends, or stand up for the stranger, risking your new friendships?",to_do,Participate in mocking,"You join in the mockery, hurting the stranger���s feelings. Guilt gnaws at you afterward, and you start to question your morals. The stranger turns out to be your new boss, leading to an awkward work environment and potential career harm.","['respect for others', 'empathy', 'tolerance', 'respect', 'professionalism']",57,friend
1089,19045,being confused when you meet people who share your sense of humor.,"You have recently met a group of new friends who share your sense of humor, which tends to be quite sarcastic and sometimes offensive. One day, you all hang out and they start making fun of a stranger for their appearance, and everyone expects you to join in. Do you participate to fit in with your new friends, or stand up for the stranger, risking your new friendships?",not_to_do,Stand up for the stranger,"You defend the stranger, causing friction with your new friends. They begin to exclude you from future gatherings, leaving you feeling isolated. However, your act of kindness resonates with the stranger, who later turns out to be a valuable connection in your field.","['courage', 'fairness', 'empathy', 'respect', 'professionalism']",57,friend
1090,19113,"speaking proper English, even when on the internet.","You are an English teacher who emphasizes the importance of proper grammar and language use. You notice that your students use improper English and slang in their online communications, which they argue is generally accepted on the internet. Should you correct their online language use or allow them to continue using internet slang?",to_do,Correcting their online language use,"As a responsible English teacher, you decide to correct their online language use. Initially, students are resistant and irritated, leading to a drop in their engagement and participation. Some students even start to dislike the English language, associating it with unnecessary strictness and formalities.","['integrity', 'discipline', 'trust', 'leadership', 'professionalism']",0,school
